id,tokens,ner_tags,text,tokens_tags,ner_text,prompts
8463,"['17-' 'Karina' 'Habsudova' '(' 'Slovakia' ')' 'beat' 'Radka' 'Bobkova'
 '(' 'Czech']","['O', 'B-Person', 'I-Person', 'O', 'B-Location', 'O', 'O', 'B-Person', 'I-Person', 'O', 'B-Location']",17- Karina Habsudova ( Slovakia ) beat Radka Bobkova ( Czech,"['17-(O)', 'Karina(B-Person)', 'Habsudova(I-Person)', '((O)', 'Slovakia(B-Location)', ')(O)', 'beat(O)', 'Radka(B-Person)', 'Bobkova(I-Person)', '((O)', 'Czech(B-Location)']",17-(O) Karina(B-Person) Habsudova(I-Person) ((O) Slovakia(B-Location) )(O) beat(O) Radka(B-Person) Bobkova(I-Person) ((O) Czech(B-Location),"Input: 17- Karina Habsudova ( Slovakia ) beat Radka Bobkova ( Czech
Output: 17-(O) Karina(B-Person) Habsudova(I-Person) ((O) Slovakia(B-Location) )(O) beat(O) Radka(B-Person) Bobkova(I-Person) ((O) Czech(B-Location)"
2502,['4.' 'William' 'Kiptum' '(' 'Kenya' ')' '27:18.84'],"['O', 'B-Person', 'I-Person', 'O', 'B-Location', 'O', 'O']",4. William Kiptum ( Kenya ) 27:18.84,"['4.(O)', 'William(B-Person)', 'Kiptum(I-Person)', '((O)', 'Kenya(B-Location)', ')(O)', '27:18.84(O)']",4.(O) William(B-Person) Kiptum(I-Person) ((O) Kenya(B-Location) )(O) 27:18.84(O),"Input: 4. William Kiptum ( Kenya ) 27:18.84
Output: 4.(O) William(B-Person) Kiptum(I-Person) ((O) Kenya(B-Location) )(O) 27:18.84(O)"
14005,['6.' 'Scott' 'Russell' '(' 'United' 'States' ')' 'Suzuki' '1:51.287'],"['O', 'B-Person', 'I-Person', 'O', 'B-Location', 'I-Location', 'O', 'B-Organization', 'O']",6. Scott Russell ( United States ) Suzuki 1:51.287,"['6.(O)', 'Scott(B-Person)', 'Russell(I-Person)', '((O)', 'United(B-Location)', 'States(I-Location)', ')(O)', 'Suzuki(B-Organization)', '1:51.287(O)']",6.(O) Scott(B-Person) Russell(I-Person) ((O) United(B-Location) States(I-Location) )(O) Suzuki(B-Organization) 1:51.287(O),"Input: 6. Scott Russell ( United States ) Suzuki 1:51.287
Output: 6.(O) Scott(B-Person) Russell(I-Person) ((O) United(B-Location) States(I-Location) )(O) Suzuki(B-Organization) 1:51.287(O)"
12685,"['Christie' 'is' 'due' 'to' 'retire' 'from' 'international' 'competition'
 'at' 'the' 'end' 'of' 'the' 'season' 'although' 'he' 'may' 'compete'
 'for' 'Britain' 'in' 'next' 'season' ""'s"" 'European' 'Cup' '.']","['B-Person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'O', 'O', 'O', 'O', 'B-Miscellaneous', 'I-Miscellaneous', 'O']",Christie is due to retire from international competition at the end of the season although he may compete for Britain in next season 's European Cup .,"['Christie(B-Person)', 'is(O)', 'due(O)', 'to(O)', 'retire(O)', 'from(O)', 'international(O)', 'competition(O)', 'at(O)', 'the(O)', 'end(O)', 'of(O)', 'the(O)', 'season(O)', 'although(O)', 'he(O)', 'may(O)', 'compete(O)', 'for(O)', 'Britain(B-Location)', 'in(O)', 'next(O)', 'season(O)', ""'s(O)"", 'European(B-Miscellaneous)', 'Cup(I-Miscellaneous)', '.(O)']",Christie(B-Person) is(O) due(O) to(O) retire(O) from(O) international(O) competition(O) at(O) the(O) end(O) of(O) the(O) season(O) although(O) he(O) may(O) compete(O) for(O) Britain(B-Location) in(O) next(O) season(O) 's(O) European(B-Miscellaneous) Cup(I-Miscellaneous) .(O),"Input: Christie is due to retire from international competition at the end of the season although he may compete for Britain in next season 's European Cup .
Output: Christie(B-Person) is(O) due(O) to(O) retire(O) from(O) international(O) competition(O) at(O) the(O) end(O) of(O) the(O) season(O) although(O) he(O) may(O) compete(O) for(O) Britain(B-Location) in(O) next(O) season(O) 's(O) European(B-Miscellaneous) Cup(I-Miscellaneous) .(O)"
13484,['Beachcomber' 'finds' 'piece' 'that' 'could' 'be' 'TWA' 'part' '.'],"['O', 'O', 'O', 'O', 'O', 'O', 'B-Organization', 'O', 'O']",Beachcomber finds piece that could be TWA part .,"['Beachcomber(O)', 'finds(O)', 'piece(O)', 'that(O)', 'could(O)', 'be(O)', 'TWA(B-Organization)', 'part(O)', '.(O)']",Beachcomber(O) finds(O) piece(O) that(O) could(O) be(O) TWA(B-Organization) part(O) .(O),"Input: Beachcomber finds piece that could be TWA part .
Output: Beachcomber(O) finds(O) piece(O) that(O) could(O) be(O) TWA(B-Organization) part(O) .(O)"
9236,"['""' 'I' 'believe' 'the' 'Democratic' 'party' 'ought' 'to' 'be'
 'pro-woman' ',' 'pro-child' 'and' 'pro-life' ',' '""' 'Casey' 'said' '.']","['O', 'O', 'O', 'O', 'B-Miscellaneous', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Person', 'O', 'O']",""" I believe the Democratic party ought to be pro-woman , pro-child and pro-life , "" Casey said .","['""(O)', 'I(O)', 'believe(O)', 'the(O)', 'Democratic(B-Miscellaneous)', 'party(O)', 'ought(O)', 'to(O)', 'be(O)', 'pro-woman(O)', ',(O)', 'pro-child(O)', 'and(O)', 'pro-life(O)', ',(O)', '""(O)', 'Casey(B-Person)', 'said(O)', '.(O)']","""(O) I(O) believe(O) the(O) Democratic(B-Miscellaneous) party(O) ought(O) to(O) be(O) pro-woman(O) ,(O) pro-child(O) and(O) pro-life(O) ,(O) ""(O) Casey(B-Person) said(O) .(O)","Input: "" I believe the Democratic party ought to be pro-woman , pro-child and pro-life , "" Casey said .
Output: ""(O) I(O) believe(O) the(O) Democratic(B-Miscellaneous) party(O) ought(O) to(O) be(O) pro-woman(O) ,(O) pro-child(O) and(O) pro-life(O) ,(O) ""(O) Casey(B-Person) said(O) .(O)"
3481,['0' 'Steve' 'Jones' 'through' '7'],"['O', 'B-Person', 'I-Person', 'O', 'O']",0 Steve Jones through 7,"['0(O)', 'Steve(B-Person)', 'Jones(I-Person)', 'through(O)', '7(O)']",0(O) Steve(B-Person) Jones(I-Person) through(O) 7(O),"Input: 0 Steve Jones through 7
Output: 0(O) Steve(B-Person) Jones(I-Person) through(O) 7(O)"
2073,['NEW' 'YORK' '1996-08-23'],"['B-Location', 'I-Location', 'O']",NEW YORK 1996-08-23,"['NEW(B-Location)', 'YORK(I-Location)', '1996-08-23(O)']",NEW(B-Location) YORK(I-Location) 1996-08-23(O),"Input: NEW YORK 1996-08-23
Output: NEW(B-Location) YORK(I-Location) 1996-08-23(O)"
13153,"['They' 'were' 'quite' 'surprised' ',' '""' 'he' 'told' 'the' 'Miami'
 'Herald' '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Organization', 'I-Organization', 'O']","They were quite surprised , "" he told the Miami Herald .","['They(O)', 'were(O)', 'quite(O)', 'surprised(O)', ',(O)', '""(O)', 'he(O)', 'told(O)', 'the(O)', 'Miami(B-Organization)', 'Herald(I-Organization)', '.(O)']","They(O) were(O) quite(O) surprised(O) ,(O) ""(O) he(O) told(O) the(O) Miami(B-Organization) Herald(I-Organization) .(O)","Input: They were quite surprised , "" he told the Miami Herald .
Output: They(O) were(O) quite(O) surprised(O) ,(O) ""(O) he(O) told(O) the(O) Miami(B-Organization) Herald(I-Organization) .(O)"
9723,['AUGUST' '1996' 'CDU' '/' 'CSU' 'SPD' 'FDP' 'Greens' 'PDS'],"['O', 'O', 'B-Organization', 'I-Organization', 'I-Organization', 'B-Organization', 'B-Organization', 'B-Organization', 'B-Organization']",AUGUST 1996 CDU / CSU SPD FDP Greens PDS,"['AUGUST(O)', '1996(O)', 'CDU(B-Organization)', '/(I-Organization)', 'CSU(I-Organization)', 'SPD(B-Organization)', 'FDP(B-Organization)', 'Greens(B-Organization)', 'PDS(B-Organization)']",AUGUST(O) 1996(O) CDU(B-Organization) /(I-Organization) CSU(I-Organization) SPD(B-Organization) FDP(B-Organization) Greens(B-Organization) PDS(B-Organization),"Input: AUGUST 1996 CDU / CSU SPD FDP Greens PDS
Output: AUGUST(O) 1996(O) CDU(B-Organization) /(I-Organization) CSU(I-Organization) SPD(B-Organization) FDP(B-Organization) Greens(B-Organization) PDS(B-Organization)"
8425,"['Men' ""'s"" 'singles']","['O', 'O', 'O']",Men 's singles,"['Men(O)', ""'s(O)"", 'singles(O)']",Men(O) 's(O) singles(O),"Input: Men 's singles
Output: Men(O) 's(O) singles(O)"
3544,"['Fourth-placed' 'Leicestershire' 'had' 'Hampshire' 'on' 'the' 'ropes'
 'at' 'Leicester' 'before' 'rain' 'intervened' '.']","['O', 'B-Organization', 'O', 'B-Organization', 'O', 'O', 'O', 'O', 'B-Location', 'O', 'O', 'O', 'O']",Fourth-placed Leicestershire had Hampshire on the ropes at Leicester before rain intervened .,"['Fourth-placed(O)', 'Leicestershire(B-Organization)', 'had(O)', 'Hampshire(B-Organization)', 'on(O)', 'the(O)', 'ropes(O)', 'at(O)', 'Leicester(B-Location)', 'before(O)', 'rain(O)', 'intervened(O)', '.(O)']",Fourth-placed(O) Leicestershire(B-Organization) had(O) Hampshire(B-Organization) on(O) the(O) ropes(O) at(O) Leicester(B-Location) before(O) rain(O) intervened(O) .(O),"Input: Fourth-placed Leicestershire had Hampshire on the ropes at Leicester before rain intervened .
Output: Fourth-placed(O) Leicestershire(B-Organization) had(O) Hampshire(B-Organization) on(O) the(O) ropes(O) at(O) Leicester(B-Location) before(O) rain(O) intervened(O) .(O)"
3077,"['The' 'mistake' 'people' 'made' 'was' 'in' 'thinking' 'it' 'was' 'going'
 'to' 'be' 'a' 'fast' ',' 'sweeping' 'change' 'rather' 'than' 'a' 'slow'
 ',' 'building' 'change' '.' '""']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","The mistake people made was in thinking it was going to be a fast , sweeping change rather than a slow , building change . ""","['The(O)', 'mistake(O)', 'people(O)', 'made(O)', 'was(O)', 'in(O)', 'thinking(O)', 'it(O)', 'was(O)', 'going(O)', 'to(O)', 'be(O)', 'a(O)', 'fast(O)', ',(O)', 'sweeping(O)', 'change(O)', 'rather(O)', 'than(O)', 'a(O)', 'slow(O)', ',(O)', 'building(O)', 'change(O)', '.(O)', '""(O)']","The(O) mistake(O) people(O) made(O) was(O) in(O) thinking(O) it(O) was(O) going(O) to(O) be(O) a(O) fast(O) ,(O) sweeping(O) change(O) rather(O) than(O) a(O) slow(O) ,(O) building(O) change(O) .(O) ""(O)","Input: The mistake people made was in thinking it was going to be a fast , sweeping change rather than a slow , building change . ""
Output: The(O) mistake(O) people(O) made(O) was(O) in(O) thinking(O) it(O) was(O) going(O) to(O) be(O) a(O) fast(O) ,(O) sweeping(O) change(O) rather(O) than(O) a(O) slow(O) ,(O) building(O) change(O) .(O) ""(O)"
5660,"['(' 'Spain' ')' '67' '67' '69' ',' 'Jonathan' 'Lomas' '67' '67' '69' ','
 'Paul' 'Eales']","['O', 'B-Location', 'O', 'O', 'O', 'O', 'O', 'B-Person', 'I-Person', 'O', 'O', 'O', 'O', 'B-Person', 'I-Person']","( Spain ) 67 67 69 , Jonathan Lomas 67 67 69 , Paul Eales","['((O)', 'Spain(B-Location)', ')(O)', '67(O)', '67(O)', '69(O)', ',(O)', 'Jonathan(B-Person)', 'Lomas(I-Person)', '67(O)', '67(O)', '69(O)', ',(O)', 'Paul(B-Person)', 'Eales(I-Person)']","((O) Spain(B-Location) )(O) 67(O) 67(O) 69(O) ,(O) Jonathan(B-Person) Lomas(I-Person) 67(O) 67(O) 69(O) ,(O) Paul(B-Person) Eales(I-Person)","Input: ( Spain ) 67 67 69 , Jonathan Lomas 67 67 69 , Paul Eales
Output: ((O) Spain(B-Location) )(O) 67(O) 67(O) 69(O) ,(O) Jonathan(B-Person) Lomas(I-Person) 67(O) 67(O) 69(O) ,(O) Paul(B-Person) Eales(I-Person)"
908,['BRUSSELS' '1996-08-22'],"['B-Location', 'O']",BRUSSELS 1996-08-22,"['BRUSSELS(B-Location)', '1996-08-22(O)']",BRUSSELS(B-Location) 1996-08-22(O),"Input: BRUSSELS 1996-08-22
Output: BRUSSELS(B-Location) 1996-08-22(O)"
4167,"['The' 'Eco-Challenge' 'has' 'been' 'staged' 'twice' 'before' '--' 'in'
 'Utah' 'and' 'Maine' 'last' 'year' '--' 'and' 'is' 'modelled' 'on'
 'similar' 'races' 'overseas' '.']","['O', 'B-Miscellaneous', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Location', 'O', 'B-Location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",The Eco-Challenge has been staged twice before -- in Utah and Maine last year -- and is modelled on similar races overseas .,"['The(O)', 'Eco-Challenge(B-Miscellaneous)', 'has(O)', 'been(O)', 'staged(O)', 'twice(O)', 'before(O)', '--(O)', 'in(O)', 'Utah(B-Location)', 'and(O)', 'Maine(B-Location)', 'last(O)', 'year(O)', '--(O)', 'and(O)', 'is(O)', 'modelled(O)', 'on(O)', 'similar(O)', 'races(O)', 'overseas(O)', '.(O)']",The(O) Eco-Challenge(B-Miscellaneous) has(O) been(O) staged(O) twice(O) before(O) --(O) in(O) Utah(B-Location) and(O) Maine(B-Location) last(O) year(O) --(O) and(O) is(O) modelled(O) on(O) similar(O) races(O) overseas(O) .(O),"Input: The Eco-Challenge has been staged twice before -- in Utah and Maine last year -- and is modelled on similar races overseas .
Output: The(O) Eco-Challenge(B-Miscellaneous) has(O) been(O) staged(O) twice(O) before(O) --(O) in(O) Utah(B-Location) and(O) Maine(B-Location) last(O) year(O) --(O) and(O) is(O) modelled(O) on(O) similar(O) races(O) overseas(O) .(O)"
1352,"['""' 'This' 'may' 'explain' 'some' 'mistakes' 'against' 'some'
 'journalists' 'and' 'writers' ',' '""' 'he' 'said' '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",""" This may explain some mistakes against some journalists and writers , "" he said .","['""(O)', 'This(O)', 'may(O)', 'explain(O)', 'some(O)', 'mistakes(O)', 'against(O)', 'some(O)', 'journalists(O)', 'and(O)', 'writers(O)', ',(O)', '""(O)', 'he(O)', 'said(O)', '.(O)']","""(O) This(O) may(O) explain(O) some(O) mistakes(O) against(O) some(O) journalists(O) and(O) writers(O) ,(O) ""(O) he(O) said(O) .(O)","Input: "" This may explain some mistakes against some journalists and writers , "" he said .
Output: ""(O) This(O) may(O) explain(O) some(O) mistakes(O) against(O) some(O) journalists(O) and(O) writers(O) ,(O) ""(O) he(O) said(O) .(O)"
9076,['Argentine' 'bishop' 'reminds' 'cabinet' 'of' 'Commandments' '.'],"['B-Miscellaneous', 'O', 'O', 'O', 'O', 'O', 'O']",Argentine bishop reminds cabinet of Commandments .,"['Argentine(B-Miscellaneous)', 'bishop(O)', 'reminds(O)', 'cabinet(O)', 'of(O)', 'Commandments(O)', '.(O)']",Argentine(B-Miscellaneous) bishop(O) reminds(O) cabinet(O) of(O) Commandments(O) .(O),"Input: Argentine bishop reminds cabinet of Commandments .
Output: Argentine(B-Miscellaneous) bishop(O) reminds(O) cabinet(O) of(O) Commandments(O) .(O)"
8266,['Crystal' 'Palace' '0' 'West' 'Bromwich' '0'],"['B-Organization', 'I-Organization', 'O', 'B-Organization', 'I-Organization', 'O']",Crystal Palace 0 West Bromwich 0,"['Crystal(B-Organization)', 'Palace(I-Organization)', '0(O)', 'West(B-Organization)', 'Bromwich(I-Organization)', '0(O)']",Crystal(B-Organization) Palace(I-Organization) 0(O) West(B-Organization) Bromwich(I-Organization) 0(O),"Input: Crystal Palace 0 West Bromwich 0
Output: Crystal(B-Organization) Palace(I-Organization) 0(O) West(B-Organization) Bromwich(I-Organization) 0(O)"
9326,"['The' 'poll' 'of' 'registered' 'voters' 'showed' 'a' 'shift' 'in' 'favor'
 'of' 'the' 'Democrats' 'in' 'the' 'elections' 'for' 'House' 'of'
 'Representatives' ',' 'with' '51' 'percent' 'saying' 'that' 'if' 'the'
 'vote' 'were' 'today' 'they' 'would' 'go' 'for' 'a' 'Democrat' 'and' '41'
 'percent' 'opting' 'for' 'a' 'Republican' '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Miscellaneous', 'O', 'O', 'O', 'O', 'B-Organization', 'I-Organization', 'I-Organization', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Miscellaneous', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Miscellaneous', 'O']","The poll of registered voters showed a shift in favor of the Democrats in the elections for House of Representatives , with 51 percent saying that if the vote were today they would go for a Democrat and 41 percent opting for a Republican .","['The(O)', 'poll(O)', 'of(O)', 'registered(O)', 'voters(O)', 'showed(O)', 'a(O)', 'shift(O)', 'in(O)', 'favor(O)', 'of(O)', 'the(O)', 'Democrats(B-Miscellaneous)', 'in(O)', 'the(O)', 'elections(O)', 'for(O)', 'House(B-Organization)', 'of(I-Organization)', 'Representatives(I-Organization)', ',(O)', 'with(O)', '51(O)', 'percent(O)', 'saying(O)', 'that(O)', 'if(O)', 'the(O)', 'vote(O)', 'were(O)', 'today(O)', 'they(O)', 'would(O)', 'go(O)', 'for(O)', 'a(O)', 'Democrat(B-Miscellaneous)', 'and(O)', '41(O)', 'percent(O)', 'opting(O)', 'for(O)', 'a(O)', 'Republican(B-Miscellaneous)', '.(O)']","The(O) poll(O) of(O) registered(O) voters(O) showed(O) a(O) shift(O) in(O) favor(O) of(O) the(O) Democrats(B-Miscellaneous) in(O) the(O) elections(O) for(O) House(B-Organization) of(I-Organization) Representatives(I-Organization) ,(O) with(O) 51(O) percent(O) saying(O) that(O) if(O) the(O) vote(O) were(O) today(O) they(O) would(O) go(O) for(O) a(O) Democrat(B-Miscellaneous) and(O) 41(O) percent(O) opting(O) for(O) a(O) Republican(B-Miscellaneous) .(O)","Input: The poll of registered voters showed a shift in favor of the Democrats in the elections for House of Representatives , with 51 percent saying that if the vote were today they would go for a Democrat and 41 percent opting for a Republican .
Output: The(O) poll(O) of(O) registered(O) voters(O) showed(O) a(O) shift(O) in(O) favor(O) of(O) the(O) Democrats(B-Miscellaneous) in(O) the(O) elections(O) for(O) House(B-Organization) of(I-Organization) Representatives(I-Organization) ,(O) with(O) 51(O) percent(O) saying(O) that(O) if(O) the(O) vote(O) were(O) today(O) they(O) would(O) go(O) for(O) a(O) Democrat(B-Miscellaneous) and(O) 41(O) percent(O) opting(O) for(O) a(O) Republican(B-Miscellaneous) .(O)"
10093,['Jens' 'Lehman' '(' 'Germany' ')'],"['B-Person', 'I-Person', 'O', 'B-Location', 'O']",Jens Lehman ( Germany ),"['Jens(B-Person)', 'Lehman(I-Person)', '((O)', 'Germany(B-Location)', ')(O)']",Jens(B-Person) Lehman(I-Person) ((O) Germany(B-Location) )(O),"Input: Jens Lehman ( Germany )
Output: Jens(B-Person) Lehman(I-Person) ((O) Germany(B-Location) )(O)"
