id,tokens,ner_tags,text,tokens_tags,ner_text,prompts
11571,"['He' 'said' 'only' 'the' 'removal' 'of' 'the' 'government' 'and' 'an'
 'early' 'election' 'could' 'save' 'Pakistan' 'from' 'disaster' '.' '""']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']","He said only the removal of the government and an early election could save Pakistan from disaster . ""","['He(O)', 'said(O)', 'only(O)', 'the(O)', 'removal(O)', 'of(O)', 'the(O)', 'government(O)', 'and(O)', 'an(O)', 'early(O)', 'election(O)', 'could(O)', 'save(O)', 'Pakistan(B-LOC)', 'from(O)', 'disaster(O)', '.(O)', '""(O)']","He(O) said(O) only(O) the(O) removal(O) of(O) the(O) government(O) and(O) an(O) early(O) election(O) could(O) save(O) Pakistan(B-LOC) from(O) disaster(O) .(O) ""(O)","Input: He said only the removal of the government and an early election could save Pakistan from disaster . ""
Output: He(O) said(O) only(O) the(O) removal(O) of(O) the(O) government(O) and(O) an(O) early(O) election(O) could(O) save(O) Pakistan(B-LOC) from(O) disaster(O) .(O) ""(O)"
13346,"['He' 'was' 'believed' 'to' 'be' 'suffering' 'from' 'laryngitis' 'and'
 'said' 'he' 'had' 'to' 'go' 'house-hunting' 'with' 'actress' 'girlfriend'
 'Patsy' 'Kensit' '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']",He was believed to be suffering from laryngitis and said he had to go house-hunting with actress girlfriend Patsy Kensit .,"['He(O)', 'was(O)', 'believed(O)', 'to(O)', 'be(O)', 'suffering(O)', 'from(O)', 'laryngitis(O)', 'and(O)', 'said(O)', 'he(O)', 'had(O)', 'to(O)', 'go(O)', 'house-hunting(O)', 'with(O)', 'actress(O)', 'girlfriend(O)', 'Patsy(B-PER)', 'Kensit(I-PER)', '.(O)']",He(O) was(O) believed(O) to(O) be(O) suffering(O) from(O) laryngitis(O) and(O) said(O) he(O) had(O) to(O) go(O) house-hunting(O) with(O) actress(O) girlfriend(O) Patsy(B-PER) Kensit(I-PER) .(O),"Input: He was believed to be suffering from laryngitis and said he had to go house-hunting with actress girlfriend Patsy Kensit .
Output: He(O) was(O) believed(O) to(O) be(O) suffering(O) from(O) laryngitis(O) and(O) said(O) he(O) had(O) to(O) go(O) house-hunting(O) with(O) actress(O) girlfriend(O) Patsy(B-PER) Kensit(I-PER) .(O)"
10735,['0-0' '.'],"['O', 'O']",0-0 .,"['0-0(O)', '.(O)']",0-0(O) .(O),"Input: 0-0 .
Output: 0-0(O) .(O)"
352,"['Gloria' 'Bistrita' 'won' '4-2' 'on' 'aggregate' 'and' 'qualified' 'for'
 'the' 'first' 'round' 'of' 'the' 'Cup' 'winners' 'Cup' '.']","['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'O']",Gloria Bistrita won 4-2 on aggregate and qualified for the first round of the Cup winners Cup .,"['Gloria(B-ORG)', 'Bistrita(I-ORG)', 'won(O)', '4-2(O)', 'on(O)', 'aggregate(O)', 'and(O)', 'qualified(O)', 'for(O)', 'the(O)', 'first(O)', 'round(O)', 'of(O)', 'the(O)', 'Cup(B-MISC)', 'winners(I-MISC)', 'Cup(I-MISC)', '.(O)']",Gloria(B-ORG) Bistrita(I-ORG) won(O) 4-2(O) on(O) aggregate(O) and(O) qualified(O) for(O) the(O) first(O) round(O) of(O) the(O) Cup(B-MISC) winners(I-MISC) Cup(I-MISC) .(O),"Input: Gloria Bistrita won 4-2 on aggregate and qualified for the first round of the Cup winners Cup .
Output: Gloria(B-ORG) Bistrita(I-ORG) won(O) 4-2(O) on(O) aggregate(O) and(O) qualified(O) for(O) the(O) first(O) round(O) of(O) the(O) Cup(B-MISC) winners(I-MISC) Cup(I-MISC) .(O)"
13367,['--' 'Reuters' 'Ottawa' 'Burea' '(' '613' ')' '235-6745'],"['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O']",-- Reuters Ottawa Burea ( 613 ) 235-6745,"['--(O)', 'Reuters(B-ORG)', 'Ottawa(I-ORG)', 'Burea(I-ORG)', '((O)', '613(O)', ')(O)', '235-6745(O)']",--(O) Reuters(B-ORG) Ottawa(I-ORG) Burea(I-ORG) ((O) 613(O) )(O) 235-6745(O),"Input: -- Reuters Ottawa Burea ( 613 ) 235-6745
Output: --(O) Reuters(B-ORG) Ottawa(I-ORG) Burea(I-ORG) ((O) 613(O) )(O) 235-6745(O)"
2742,"['Repatriation' 'of' '1.1' 'million' 'Rwandan' 'Hutu' 'refugees'
 'announced' 'by' 'Zaire' 'and' 'Rwanda' 'on' 'Thursday' 'could' 'start'
 'within' 'the' 'next' 'few' 'days' ',' 'an' 'exiled' 'Rwandan' 'Hutu'
 'lobby' 'group' 'said' 'on' 'Friday' '.']","['O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O']","Repatriation of 1.1 million Rwandan Hutu refugees announced by Zaire and Rwanda on Thursday could start within the next few days , an exiled Rwandan Hutu lobby group said on Friday .","['Repatriation(O)', 'of(O)', '1.1(O)', 'million(O)', 'Rwandan(B-MISC)', 'Hutu(I-MISC)', 'refugees(O)', 'announced(O)', 'by(O)', 'Zaire(B-LOC)', 'and(O)', 'Rwanda(B-LOC)', 'on(O)', 'Thursday(O)', 'could(O)', 'start(O)', 'within(O)', 'the(O)', 'next(O)', 'few(O)', 'days(O)', ',(O)', 'an(O)', 'exiled(O)', 'Rwandan(B-MISC)', 'Hutu(I-MISC)', 'lobby(O)', 'group(O)', 'said(O)', 'on(O)', 'Friday(O)', '.(O)']","Repatriation(O) of(O) 1.1(O) million(O) Rwandan(B-MISC) Hutu(I-MISC) refugees(O) announced(O) by(O) Zaire(B-LOC) and(O) Rwanda(B-LOC) on(O) Thursday(O) could(O) start(O) within(O) the(O) next(O) few(O) days(O) ,(O) an(O) exiled(O) Rwandan(B-MISC) Hutu(I-MISC) lobby(O) group(O) said(O) on(O) Friday(O) .(O)","Input: Repatriation of 1.1 million Rwandan Hutu refugees announced by Zaire and Rwanda on Thursday could start within the next few days , an exiled Rwandan Hutu lobby group said on Friday .
Output: Repatriation(O) of(O) 1.1(O) million(O) Rwandan(B-MISC) Hutu(I-MISC) refugees(O) announced(O) by(O) Zaire(B-LOC) and(O) Rwanda(B-LOC) on(O) Thursday(O) could(O) start(O) within(O) the(O) next(O) few(O) days(O) ,(O) an(O) exiled(O) Rwandan(B-MISC) Hutu(I-MISC) lobby(O) group(O) said(O) on(O) Friday(O) .(O)"
1728,['LATEST' 'ACTUAL'],"['O', 'O']",LATEST ACTUAL,"['LATEST(O)', 'ACTUAL(O)']",LATEST(O) ACTUAL(O),"Input: LATEST ACTUAL
Output: LATEST(O) ACTUAL(O)"
10673,['Attendance'],['O'],Attendance,['Attendance(O)'],Attendance(O),"Input: Attendance
Output: Attendance(O)"
2202,"['Schalke' ',' 'who' 'finished' 'third' 'last' 'season' ',' 'raced' 'to'
 'a' '3-1' 'lead' 'at' 'halftime' '.']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","Schalke , who finished third last season , raced to a 3-1 lead at halftime .","['Schalke(B-ORG)', ',(O)', 'who(O)', 'finished(O)', 'third(O)', 'last(O)', 'season(O)', ',(O)', 'raced(O)', 'to(O)', 'a(O)', '3-1(O)', 'lead(O)', 'at(O)', 'halftime(O)', '.(O)']","Schalke(B-ORG) ,(O) who(O) finished(O) third(O) last(O) season(O) ,(O) raced(O) to(O) a(O) 3-1(O) lead(O) at(O) halftime(O) .(O)","Input: Schalke , who finished third last season , raced to a 3-1 lead at halftime .
Output: Schalke(B-ORG) ,(O) who(O) finished(O) third(O) last(O) season(O) ,(O) raced(O) to(O) a(O) 3-1(O) lead(O) at(O) halftime(O) .(O)"
6686,['MTK' '3' 'Ferencvaros' '0'],"['B-ORG', 'O', 'B-ORG', 'O']",MTK 3 Ferencvaros 0,"['MTK(B-ORG)', '3(O)', 'Ferencvaros(B-ORG)', '0(O)']",MTK(B-ORG) 3(O) Ferencvaros(B-ORG) 0(O),"Input: MTK 3 Ferencvaros 0
Output: MTK(B-ORG) 3(O) Ferencvaros(B-ORG) 0(O)"
4995,['Asif' 'Mujtaba' 'run' 'out' '13'],"['B-PER', 'I-PER', 'O', 'O', 'O']",Asif Mujtaba run out 13,"['Asif(B-PER)', 'Mujtaba(I-PER)', 'run(O)', 'out(O)', '13(O)']",Asif(B-PER) Mujtaba(I-PER) run(O) out(O) 13(O),"Input: Asif Mujtaba run out 13
Output: Asif(B-PER) Mujtaba(I-PER) run(O) out(O) 13(O)"
2507,['9.' 'Worku' 'Bekila' '(' 'Ethiopia' ')' '28.42.23'],"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']",9. Worku Bekila ( Ethiopia ) 28.42.23,"['9.(O)', 'Worku(B-PER)', 'Bekila(I-PER)', '((O)', 'Ethiopia(B-LOC)', ')(O)', '28.42.23(O)']",9.(O) Worku(B-PER) Bekila(I-PER) ((O) Ethiopia(B-LOC) )(O) 28.42.23(O),"Input: 9. Worku Bekila ( Ethiopia ) 28.42.23
Output: 9.(O) Worku(B-PER) Bekila(I-PER) ((O) Ethiopia(B-LOC) )(O) 28.42.23(O)"
484,['6-7' '(' '3-7' ')' '6-4' '6-4'],"['O', 'O', 'O', 'O', 'O', 'O']",6-7 ( 3-7 ) 6-4 6-4,"['6-7(O)', '((O)', '3-7(O)', ')(O)', '6-4(O)', '6-4(O)']",6-7(O) ((O) 3-7(O) )(O) 6-4(O) 6-4(O),"Input: 6-7 ( 3-7 ) 6-4 6-4
Output: 6-7(O) ((O) 3-7(O) )(O) 6-4(O) 6-4(O)"
6092,"['In' 'the' 'future' ',' 'the' 'accountant' 'will' 'be' 'evaluated'
 'solely' 'on' '""' 'knowledge' ',' 'skill' 'and' 'abilities' ',' '""' 'she'
 'said' '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","In the future , the accountant will be evaluated solely on "" knowledge , skill and abilities , "" she said .","['In(O)', 'the(O)', 'future(O)', ',(O)', 'the(O)', 'accountant(O)', 'will(O)', 'be(O)', 'evaluated(O)', 'solely(O)', 'on(O)', '""(O)', 'knowledge(O)', ',(O)', 'skill(O)', 'and(O)', 'abilities(O)', ',(O)', '""(O)', 'she(O)', 'said(O)', '.(O)']","In(O) the(O) future(O) ,(O) the(O) accountant(O) will(O) be(O) evaluated(O) solely(O) on(O) ""(O) knowledge(O) ,(O) skill(O) and(O) abilities(O) ,(O) ""(O) she(O) said(O) .(O)","Input: In the future , the accountant will be evaluated solely on "" knowledge , skill and abilities , "" she said .
Output: In(O) the(O) future(O) ,(O) the(O) accountant(O) will(O) be(O) evaluated(O) solely(O) on(O) ""(O) knowledge(O) ,(O) skill(O) and(O) abilities(O) ,(O) ""(O) she(O) said(O) .(O)"
4767,['6.' 'David' 'Coulthard' '(' 'Britain' ')' '18'],"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']",6. David Coulthard ( Britain ) 18,"['6.(O)', 'David(B-PER)', 'Coulthard(I-PER)', '((O)', 'Britain(B-LOC)', ')(O)', '18(O)']",6.(O) David(B-PER) Coulthard(I-PER) ((O) Britain(B-LOC) )(O) 18(O),"Input: 6. David Coulthard ( Britain ) 18
Output: 6.(O) David(B-PER) Coulthard(I-PER) ((O) Britain(B-LOC) )(O) 18(O)"
2205,"['In' 'the' 'night' ""'s"" 'only' 'other' 'match' ',' 'Hamburg' 'beat'
 'Hansa' 'Rostock' '1-0' ',' 'Karsten' 'Baeron' 'scoring' 'the' 'winner'
 'after' 'some' 'dazzling' 'build-up' 'from' 'in-form' 'midfielder'
 'Harald' 'Spoerl' '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']","In the night 's only other match , Hamburg beat Hansa Rostock 1-0 , Karsten Baeron scoring the winner after some dazzling build-up from in-form midfielder Harald Spoerl .","['In(O)', 'the(O)', 'night(O)', ""'s(O)"", 'only(O)', 'other(O)', 'match(O)', ',(O)', 'Hamburg(B-ORG)', 'beat(O)', 'Hansa(B-ORG)', 'Rostock(I-ORG)', '1-0(O)', ',(O)', 'Karsten(B-PER)', 'Baeron(I-PER)', 'scoring(O)', 'the(O)', 'winner(O)', 'after(O)', 'some(O)', 'dazzling(O)', 'build-up(O)', 'from(O)', 'in-form(O)', 'midfielder(O)', 'Harald(B-PER)', 'Spoerl(I-PER)', '.(O)']","In(O) the(O) night(O) 's(O) only(O) other(O) match(O) ,(O) Hamburg(B-ORG) beat(O) Hansa(B-ORG) Rostock(I-ORG) 1-0(O) ,(O) Karsten(B-PER) Baeron(I-PER) scoring(O) the(O) winner(O) after(O) some(O) dazzling(O) build-up(O) from(O) in-form(O) midfielder(O) Harald(B-PER) Spoerl(I-PER) .(O)","Input: In the night 's only other match , Hamburg beat Hansa Rostock 1-0 , Karsten Baeron scoring the winner after some dazzling build-up from in-form midfielder Harald Spoerl .
Output: In(O) the(O) night(O) 's(O) only(O) other(O) match(O) ,(O) Hamburg(B-ORG) beat(O) Hansa(B-ORG) Rostock(I-ORG) 1-0(O) ,(O) Karsten(B-PER) Baeron(I-PER) scoring(O) the(O) winner(O) after(O) some(O) dazzling(O) build-up(O) from(O) in-form(O) midfielder(O) Harald(B-PER) Spoerl(I-PER) .(O)"
10870,"['India' 'won' 'the' 'toss' 'and' 'elected' 'to' 'bat' 'against' 'Sri'
 'Lanka' 'in' 'the' 'second' 'day-night' 'limited' 'overs' 'cricket'
 'match' 'of' 'the' 'Singer' 'World' 'Series' 'tournament' 'on'
 'Wednesday' '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O']",India won the toss and elected to bat against Sri Lanka in the second day-night limited overs cricket match of the Singer World Series tournament on Wednesday .,"['India(B-LOC)', 'won(O)', 'the(O)', 'toss(O)', 'and(O)', 'elected(O)', 'to(O)', 'bat(O)', 'against(O)', 'Sri(B-LOC)', 'Lanka(I-LOC)', 'in(O)', 'the(O)', 'second(O)', 'day-night(O)', 'limited(O)', 'overs(O)', 'cricket(O)', 'match(O)', 'of(O)', 'the(O)', 'Singer(B-MISC)', 'World(I-MISC)', 'Series(I-MISC)', 'tournament(O)', 'on(O)', 'Wednesday(O)', '.(O)']",India(B-LOC) won(O) the(O) toss(O) and(O) elected(O) to(O) bat(O) against(O) Sri(B-LOC) Lanka(I-LOC) in(O) the(O) second(O) day-night(O) limited(O) overs(O) cricket(O) match(O) of(O) the(O) Singer(B-MISC) World(I-MISC) Series(I-MISC) tournament(O) on(O) Wednesday(O) .(O),"Input: India won the toss and elected to bat against Sri Lanka in the second day-night limited overs cricket match of the Singer World Series tournament on Wednesday .
Output: India(B-LOC) won(O) the(O) toss(O) and(O) elected(O) to(O) bat(O) against(O) Sri(B-LOC) Lanka(I-LOC) in(O) the(O) second(O) day-night(O) limited(O) overs(O) cricket(O) match(O) of(O) the(O) Singer(B-MISC) World(I-MISC) Series(I-MISC) tournament(O) on(O) Wednesday(O) .(O)"
8261,['SOCCER' '-' 'ENGLISH' 'LEAGUE' 'RESULTS' '.'],"['O', 'O', 'B-MISC', 'O', 'O', 'O']",SOCCER - ENGLISH LEAGUE RESULTS .,"['SOCCER(O)', '-(O)', 'ENGLISH(B-MISC)', 'LEAGUE(O)', 'RESULTS(O)', '.(O)']",SOCCER(O) -(O) ENGLISH(B-MISC) LEAGUE(O) RESULTS(O) .(O),"Input: SOCCER - ENGLISH LEAGUE RESULTS .
Output: SOCCER(O) -(O) ENGLISH(B-MISC) LEAGUE(O) RESULTS(O) .(O)"
